id,display_name,display_name_alternatives,type,season,description
10140,花鳥,,季語,春,
10141,花盗人,,季語,春,晩春(清明から立夏の前日まで)
10142,花曇,,季語,春,晩春(清明から立夏の前日まで)
10143,花筏,,季語,春,晩春(清明から立夏の前日まで)
10144,花筏,,季語,春,晩春(清明から立夏の前日まで)
10145,花疲,,季語,春,晩春(清明から立夏の前日まで)
10146,花冷え,,季語,春,晩春(清明から立夏の前日まで)
10147,花筵,,季語,春,晩春(清明から立夏の前日まで)
10148,花篝,,季語,春,晩春(清明から立夏の前日まで)
10149,花簪,,季語,春,仲春(啓蟄から清明の前日まで)
10150,茄子蒔く,,季語,春,仲春(啓蟄から清明の前日まで)
10151,華鬘草,,季語,春,晩春(清明から立夏の前日まで)
10152,霞,,季語,春,
10153,霞草,,季語,春,晩春(清明から立夏の前日まで)
10154,蚊母樹の花,,季語,春,晩春(清明から立夏の前日まで)
10155,芽立ち,,季語,春,仲春(啓蟄から清明の前日まで)
10156,会陽,,季語,春,初春(立春から啓蟄の前日まで)
10157,海雲,,季語,春,
10158,海女,,季語,春,晩春(清明から立夏の前日まで)
10159,海松,,季語,春,
10160,海松食,,季語,春,
10161,海苔,,季語,春,初春(立春から啓蟄の前日まで)
10162,海苔掻き,,季語,春,初春(立春から啓蟄の前日まで)
10163,海猫渡る,,季語,春,仲春(啓蟄から清明の前日まで)
10164,海髪,,季語,春,
10165,海老根,,季語,春,仲春(啓蟄から清明の前日まで)
10166,海棠,,季語,春,晩春(清明から立夏の前日まで)
10167,灰の水曜日,,季語,春,仲春(啓蟄から清明の前日まで)
10168,絵踏,,季語,春,初春(立春から啓蟄の前日まで)
10169,芥菜,,季語,春,
10170,開帳,,季語,春,
10171,貝寄風,,季語,春,仲春(啓蟄から清明の前日まで)
10172,貝母の花,,季語,春,仲春(啓蟄から清明の前日まで)
10173,外套脱ぐ,,季語,春,仲春(啓蟄から清明の前日まで)
10174,蛙,,季語,春,
10175,蛙の傘,,季語,春,晩春(清明から立夏の前日まで)
10176,蛙の目借り時,,季語,春,晩春(清明から立夏の前日まで)
10177,垣繕ふ,,季語,春,仲春(啓蟄から清明の前日まで)
10178,垣通,,季語,春,晩春(清明から立夏の前日まで)
10179,角叉,,季語,春,
10180,角組む荻,,季語,春,仲春(啓蟄から清明の前日まで)
10181,樫の花,,季語,春,晩春(清明から立夏の前日まで)
10182,橿原祭,,季語,春,初春(立春から啓蟄の前日まで)
10183,樺海苔,,季語,春,
10184,蒲公英,,季語,春,仲春(啓蟄から清明の前日まで)
10185,鴨川をどり,,季語,春,晩春(清明から立夏の前日まで)
10186,茅花,,季語,春,仲春(啓蟄から清明の前日まで)
10187,寒食,,季語,春,晩春(清明から立夏の前日まで)
10188,寒明,,季語,春,初春(立春から啓蟄の前日まで)
10189,干鱈,,季語,春,
10190,干鰈,,季語,春,仲春(啓蟄から清明の前日まで)
10191,甘菜,,季語,春,晩春(清明から立夏の前日まで)
10192,甘藷苗作る,,季語,春,晩春(清明から立夏の前日まで)
10193,甘茶,,季語,春,晩春(清明から立夏の前日まで)
10194,甘蔗植う,,季語,春,初春(立春から啓蟄の前日まで)
10195,竿躑躅,,季語,春,晩春(清明から立夏の前日まで)
10196,観学会,,季語,春,晩春(清明から立夏の前日まで)
10197,観潮,,季語,春,仲春(啓蟄から清明の前日まで)
10198,眼張,,季語,春,
10199,岩燕,,季語,春,晩春(清明から立夏の前日まで)
10200,岩海苔,,季語,春,初春(立春から啓蟄の前日まで)
10201,岩梨の花,,季語,春,晩春(清明から立夏の前日まで)
10202,雁帰る,,季語,春,仲春(啓蟄から清明の前日まで)
10203,雁風呂,,季語,春,仲春(啓蟄から清明の前日まで)
10204,雁瘡癒ゆ,,季語,春,
10205,寄居虫,,季語,春,
10206,旗竿の花,,季語,春,晩春(清明から立夏の前日まで)
10207,気多平国祭,,季語,春,仲春(啓蟄から清明の前日まで)
10208,祈念祭,,季語,春,初春(立春から啓蟄の前日まで)
10209,季御読経,,季語,春,仲春(啓蟄から清明の前日まで)
10210,鬼縛の花,,季語,春,初春(立春から啓蟄の前日まで)
10211,亀鳴く,,季語,春,
